id,business,investment,skills,customers,mobility,competitors,problems,success
1,"Производство и продажа натурального меда",500000,"Знания в пчеловодстве, опыт в маркетинге","Люди, заботящиеся о здоровье","Доставка по городу, Instagram","Крупные медовые компании","Рост цен на сырье. Планы: расширение производства",1
2,"Пошив женской одежды в национальном стиле",300000,"Опыт в шитье, команда швей","Женщины, любящие уникальные наряды","Магазин, онлайн-заказы","Другие ателье","Дорогие материалы. Планы: новая коллекция",0
3,"Кофейня с десертами",1500000,"Опыт в приготовлении кофе","Студенты, офисные работники","Кафе в центре, доставка","Другие кофейни","Высокая аренда. Планы: программа лояльности",1
4,"Разработка мобильных приложений",800000,"Программисты, дизайнеры","Малый и средний бизнес","Онлайн-офис","IT-компании","Нехватка программистов. Планы: выход на экспорт",1
5,"Организация туров по Кыргызстану",400000,"Опыт в туризме","Любители путешествий","Офис, онлайн-бронирование","Турагентства","Сезонность. Планы: привлечение иностранцев",0
6,"Языковые курсы (английский/русский)",600000,"Преподаватели","Студенты, мигранты","Учебный центр","Другие курсы","Конкуренция. Планы: онлайн-обучение",1
7,"Производство мебели на заказ",1000000,"Столяры, дизайнер","Семьи, бизнесы","Цех, доставка","Мебельные магазины","Дорогие материалы. Планы: новые станки",1
8,"Доставка еды из ресторанов",500000,"Логисты, курьеры","Занятые люди","Мобильное приложение","Сервисы доставки","Конкуренция. Планы: новые рестораны-партнеры",1
9,"Автосервис",700000,"Механики","Владельцы автомобилей","Станция ТО","Другие СТО","Дорогие запчасти. Планы: новые услуги",1
11,"Производство сыров из козьего молока",750000,"Технолог пищевого производства, 2 помощника","Рестораны, ЗОЖ-магазины, частные покупатели","Доставка по области, продажи на фермерских рынках","Крупные сырные заводы, импортные бренды","Сезонность производства, сложности с хранением. Планы: приобретение холодильных камер",0
12,"Ремонт и обслуживание компьютеров",350000,"Сертифицированные IT-специалисты (3 человека)","Офисы, студенты, пенсионеры","Вызов на дом, курьерская доставка комплектующих","Другие сервисные центры, магазины электроники","Устаревание оборудования, нехватка качественных запчастей. Планы: запуск услуг по кибербезопасности",1
13,"Студия йоги и медитации",500000,"Сертифицированные инструкторы (4 человека)","Офисные работники 25-50 лет, беременные","Аренда зала в центре города, онлайн-трансляции","Фитнес-клубы, другие студии йоги","Сезонное падение спроса летом. Планы: корпоративные программы для компаний",1
14,"Изготовление памятников и надгробий",1200000,"Художник-камнерез, 2 помощника","Ритуальные агентства, частные заказчики","Собственная мастерская, выезд на замеры","Другие мастерские, импортная продукция","Психологическая сложность работы. Планы: автоматизация производства",0
15,"Доставка обедов в офисы",900000,"Повара (3 чел.), логисты","Офисные работники, госучреждения","Собственная кухня, 2 автомобиля","Другие службы доставки, столовые","Сезонность (летом спрос падает). Планы: внедрение подписки на обеды",1
16,"Агентство недвижимости",600000,"Агенты с лицензиями (5 человек)","Продавцы и покупатели жилья","Офис в центре, мобильные бригады","Другие агентства, частные маклеры","Колебания рынка недвижимости. Планы: развитие ипотечного брокериджа",1
17,"Производство крафтового пива",2500000,"Технолог пивоварения, 4 рабочих","Бары, рестораны, пивные магазины","Собственный цех, доставка","Крупные пивзаводы, импортные бренды","Высокие акцизы. Планы: открытие собственного паба",0
18,"Служба клининга для офисов",400000,"Обученный персонал (8 человек)","Компании, арендодатели","Выездные бригады, свой инвентарь","Частные уборщицы, другие клининговые компании","Текучесть кадров. Планы: автоматизация управления заказами",1
19,"Ветеринарная клиника",1500000,"2 ветеринара, ассистент","Владельцы домашних животных","Стационар с операционной, выезд на дом","Государственные ветстанции","Дорогое оборудование. Планы: расширение лаборатории",1
20,"Мастерская по ремонту обуви",300000,"Мастер с 15-летним опытом","Городские жители, офисные работтели","Небольшая точка в ТЦ","Другие мастерские, покупка новой обуви","Нехватка квалифицированных кадров. Планы: франшиза",0
21,"Продажа комнатных растений",500000,"Биолог, 2 продавца","Офисы, молодые семьи, рестораны","Теплица на окраине, магазин в центре","Цветочные магазины, супермаркеты","Сложности с транспортировкой. Планы: онлайн-консультации по уходу",1
22,"Услуги грузоперевозок",800000,"3 водителя с грузовиками","Частные лица, малый бизнес","Парк из 3 грузовиков","Частные перевозчики, крупные компании","Рост цен на топливо. Планы: GPS-мониторинг автопарка",1
23,"Соляная пещера (галотерапия)",700000,"Медработник, администратор","Аллергики, часто болеющие дети","Помещение в спальном районе","Другие соляные пещеры, санатории","Сезонность (спрос зимой выше). Планы: детские программы",0
24,"Изготовление натяжных потолков",1100000,"Монтажники (4 чел.), замерщик","Новостройки, офисные центры","Выезд на объекты","Другие монтажные компании","Китайские дешевые аналоги. Планы: немецкие материалы премиум-класса",1
25,"Прокат детских колясок",250000,"2 администратора","Туристы, молодые родители","Склад рядом с вокзалом","Другие пункты проката","Износ оборудования. Планы: расширение ассортимента аксессуарами",0
26,"Студия звукозаписи",900000,"Звукорежиссер, продюсер","Музыканты, подкастеры","Помещение с изоляцией","Домашние студии, крупные лейблы","Дорогое оборудование. Планы: онлайн-мастеринг",1
27,"Производство мебели из эко-материалов",1800000,"Дизайнер, 5 плотников","Эко-ориентированные покупатели","Цех, интернет-магазин","Икеа, другие мебельные фабрики","Долгий производственный цикл. Планы: модульные конструкции",1
28,"Услуги няни с проживанием",0,"Педагогическое образование","Занятые родители, экспаты","Выезд к клиенту","Частные няни, агентства","Проверка персонала. Планы: база данных проверенных нянь",0
29,"Магазин фермерских продуктов",1200000,"Знание сельского хозяйства","Жители района, ЗОЖ-адепты","Торговая точка у метро","Супермаркеты, рынки","Сезонность продукции. Планы: собственный сайт с доставкой",1
30,"Ремонт мобильных телефонов",450000,"3 мастера по ремонту","Студенты, офисные работники","Точка в ТЦ, курьер","Официальные сервис-центры","Быстрое устаревание моделей. Планы: услуга trade-in",1
31,"Спортивный клуб для женщин",950000,"Тренеры (3 чел.), диетолог","Женщины 25-45 лет","Зал в бизнес-районе","Фитнес-клубы, YouTube-тренеры","Сезонность (набор перед летом). Планы: онлайн-тренировки",1
32,"Фотостудия для детей",600000,"2 фотографа, визажист","Родители детей 1-10 лет","Аренда зала с декорациями","Домашние фотографы","Сезонность (пик перед праздниками). Планы: выездные съемки",1
33,"Юридическая консультация",200000,"2 юриста с лицензиями","Малый бизнес, частные лица","Офис, онлайн-консультации","Другие юрфирмы, госорганы","Изменения в законодательстве. Планы: автоматизация документооборота",1
34,"Печать на футболках",350000,"Дизайнер, оператор станка","Молодежь, корпоративные клиенты","Мастерская, интернет-магазин","Крупные полиграфические компании","Износ оборудования. Планы: экопринты",0
35,"Автошкола",1500000,"3 инструктора с лицензиями","Студенты, мигранты","Автодром, классы","Другие автошколы","Снижение спроса зимой. Планы: курсы для водителей-дальнобойщиков",1
36,"Изготовление аквариумов",800000,"Дизайнер, стекольщик","Рестораны, офисы, частные лица","Мастерская, доставка","Китайские производители","Хрупкость при транспортировке. Планы: системы ""умный аквариум""",0
37,"Аренда строительных лесов",1300000,"Логист, 4 рабочих","Строительные компании","Склад, доставка","Конкуренты с дешевыми лесами","Хранение оборудования. Планы: аренда вышек-тур",1
38,"Служба организации праздников",500000,"Организатор, декоратор","Семьи, корпоративные клиенты","Выездные мероприятия","Частные организаторы","Сезонность (пик в декабре). Планы: тематические вечеринки",1
39,"Магазин винтажной одежды",400000,"Стилист, 2 продавца","Молодежь 18-30 лет","Бутик в центре, инстаграм","Секонд-хенды","Непостоянные поставки. Планы: онлайн-аукционы",0
40,"Курсы первой помощи",300000,"Медработники с сертификатами","Родители, учителя, компании","Аренда залов","Государственные курсы","Необходимость регулярного обновления сертификатов. Планы: VR-тренажеры",1
41,Коворкинг-пространство,800000,"Управление, маркетинг","Фрилансеры, стартапы",Офис в центре,Другие коворкинги,"Высокая аренда, сезонные спады",1
42,Магазин национальных сувениров,250000,"Знание культуры, продажи","Туристы, местные жители","Торговая точка, онлайн",Сувенирные лавки,"Сезонность туризма, слабый онлайн маркетинг",0
43,Детский развивающий центр,600000,"Педагогика, менеджмент",Родители детей 3-7 лет,Помещение в жилом районе,Другие центры развития,"Конкуренция, сезонные каникулы",1
44,Велосипедный прокат,200000,"Логистика, сервис","Туристы, молодежь",Уличная точка,"Прокат машин, спорттовары","Плохие дороги, сезонность",0
45,Онлайн-курсы по программированию,500000,"IT, преподавание","Молодежь, студенты",Онлайн,Другие онлайн школы,"Сильная конкуренция, пиратство",1
46,Кафе здорового питания,700000,"Кулинария, маркетинг","ЗОЖ-активисты, офисные работники",Кафе + доставка,"Другие кафе, фастфуд","Высокая аренда, недоверие к ЗОЖ",0
47,Автошкола,1000000,"Вождение, педагогика",Молодые водители,Автодром,Другие автошколы,"Высокая конкуренция, сезонные спады",1
48,Ремонт электроники,300000,"Электроника, сервис","Частные лица, офисы",Мастерская + выезд,Сервисные центры,Быстрое устаревание техники,1
49,Мастерская по пошиву сумок,250000,"Пошив, дизайн","Женщины 25-45, студенты","Лавка, онлайн","Крупные бренды, ателье",Сложности с закупкой материалов,0
50,Фитнес-клуб с групповыми занятиями,1200000,"Тренеры, менеджмент","Молодежь, офисные работники",Зал в жилом районе,Другие фитнес-клубы,"Конкуренция, сезонные спады",1
51,Бизнес пример 51,710000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
52,Бизнес пример 52,720000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
53,Бизнес пример 53,730000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
54,Бизнес пример 54,740000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
55,Бизнес пример 55,750000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
56,Бизнес пример 56,760000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
57,Бизнес пример 57,770000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
58,Бизнес пример 58,780000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
59,Бизнес пример 59,790000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
60,Бизнес пример 60,800000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
61,Бизнес пример 61,810000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
62,Бизнес пример 62,820000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
63,Бизнес пример 63,830000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
64,Бизнес пример 64,840000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
65,Бизнес пример 65,850000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
66,Бизнес пример 66,860000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
67,Бизнес пример 67,870000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
68,Бизнес пример 68,880000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
69,Бизнес пример 69,890000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
70,Бизнес пример 70,900000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
71,Бизнес пример 71,910000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
72,Бизнес пример 72,920000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
73,Бизнес пример 73,930000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
74,Бизнес пример 74,940000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
75,Бизнес пример 75,950000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
76,Бизнес пример 76,960000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
77,Бизнес пример 77,970000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
78,Бизнес пример 78,980000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
79,Бизнес пример 79,990000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
80,Бизнес пример 80,1000000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
81,Бизнес пример 81,1010000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
82,Бизнес пример 82,1020000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
83,Бизнес пример 83,1030000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
84,Бизнес пример 84,1040000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
85,Бизнес пример 85,1050000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
86,Бизнес пример 86,1060000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
87,Бизнес пример 87,1070000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
88,Бизнес пример 88,1080000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
89,Бизнес пример 89,1090000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
90,Бизнес пример 90,1100000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
