id,business,investment,skills,customers,mobility,competitors,problems
1,"Биз балды кайра иштетип, таңгактап сатабыз. Негизинен жергиликтүү дүкөндөргө жана базарларга жеткиребиз. Кардарларыбыз - ден соолугуна кам көргөн жана табигый азыктарды издеген адамдар.","500000","Балчылык боюнча билимим бар, ошондой эле маркетинг жана сатуу боюнча тажрыйбам бар. Кичинекей цехибиз жана бир нече жумушчубуз бар.","Кардарлар биз жөнүндө ооздон-оозго угушат, ошондой эле социалдык тармактарда жарнама кылабыз. Көбүнчө орто жаштагы аялдар биздин кардарлар. Кыш мезгилинде балдын суроо-талабы көбүрөөк болот.","Шаар ичинде өзүбүздүн унаа менен жеткиребиз. Онлайн сатуу үчүн Instagram баракчабыз бар.","Биздин атаандаштар - чоң бал компаниялары жана башка кичинекей бал өндүрүүчүлөр. Биздин айырмабыз - биздин бал табигый жана жергиликтүү.","Эң чоң көйгөй - чийки заттын баасынын өсүшү. Келерки жылы өндүрүштү көбөйтүп, жаңы базарларга чыгууну пландап жатабыз."
2,"Биз аялдардын кийимдерин тигебиз, көбүнчө улуттук стилдеги кийимдерди жасайбыз. Биздин кардарлар - өзгөчө кийинүүнү каалаган аялдар.","300000","Тигүү боюнча көп жылдык тажрыйбам бар. Бир нече тигүүчү жана дизайнерлер иштейт.","Биздин кардарлар бизди социалдык тармактардан жана көргөзмөлөрдөн табышат. Көбүнчө жаш кыздар жана орто жаштагы аялдар. Майрамдарда жана тойлордо суроо-талап көбөйөт.","Дүкөнүбүз бар, ошондой эле онлайн заказ алабыз жана жеткирүү кызматы бар.","Башка тигүү цехтери жана кийим дүкөндөрү. Биздин өзгөчөлүгүбүз - сапаттуу материалдар жана уникалдуу дизайн.","Материалдардын кымбатташы жана квалификациялуу жумушчулардын жетишсиздиги. Келерки жылы онлайн сатууну күчөтүп, жаңы коллекция чыгарууну пландап жатабыз."
3,"Биз кофе жана десерттерди сатабыз. Биздин кардарлар - студенттер, кеңсе кызматкерлери жана кофени сүйүүчүлөр.","1500000","Кофе жасоо боюнча билимим бар, ошондой эле тейлөө тармагында тажрыйбам бар. Бир нече бариста жана тейлөөчүлөр иштейт.","Биздин кардарлар бизди социалдык тармактардан, жарнамалардан жана ооздон-оозго угушат. Көбүнчө жаштар жана студенттер. Эртең менен жана түштө суроо-талап көбөйөт.","Дүкөнүбүз борбордо жайгашкан, ошондой эле жеткирүү кызматы бар.","Башка кофе дүкөндөрү жана тез тамактануучу жайлар. Биздин өзгөчөлүгүбүз - сапаттуу кофе жана жагымдуу атмосфера.","Аренданын кымбатташы жана атаандаштыктын күчөшү. Келерки жылы жаңы филиал ачып, лоялдуулук программасын ишке киргизүүнү пландап жатабыз."
4,"Биз мобилдик тиркемелерди иштеп чыгабыз, көбүнчө бизнес үчүн. Кардарларыбыз - чакан жана орто бизнес ээлери.","800000","Программалоо боюнча билимим бар, ошондой эле долбоорду башкаруу боюнча тажрыйбам бар. Бир нече программист жана дизайнерлер иштейт.","Биздин кардарлар бизди онлайн жарнамалардан, конференциялардан жана ооздон-оозго угушат. Көбүнчө бизнес ээлери жана менеджерлер. Санариптештирүү тренди күчөгөндө суроо-талап көбөйөт.","Офисибиз бар, бирок көбүнчө онлайн иштейбиз.","Башка IT компаниялары жана фрилансерлер. Биздин өзгөчөлүгүбүз - сапаттуу код жана кардарларга багытталган мамиле.","Квалификациялуу программисттердин жетишсиздиги жана атаандаштыктын күчөшү. Келерки жылы жаңы технологияларды өздөштүрүп, экспортко чыгууну пландап жатабыз."
5,"Биз туристтик турларды уюштурабыз, көбүнчө Кыргызстандын ичинде. Кардарларыбыз - саякаттоону сүйгөн адамдар.","400000","Туризм боюнча билимим бар, ошондой эле сатуу жана маркетинг боюнча тажрыйбам бар. Бир нече гид жана айдоочулар иштейт.","Биздин кардарлар бизди онлайн жарнамалардан, социалдык тармактардан жана ооздон-оозго угушат. Көбүнчө жаштар жана үй-бүлөлөр. Жай мезгилинде суроо-талап көбөйөт.","Офисибиз бар, ошондой эле онлайн заказ алабыз.","Башка туристтик агенттиктер жана гиддер. Биздин өзгөчөлүгүбүз - уникалдуу турлар жана кардарларга жеке мамиле.","Туризмдин сезондуулугу жана атаандаштыктын күчөшү. Келерки жылы жаңы турларды иштеп чыгып, чет элдик туристтерди тартууну пландап жатабыз."
6,"Биз тил курстарын сунуштайбыз, көбүнчө англис жана орус тилдерин окутабыз. Кардарларыбыз - тил үйрөнгүсү келген адамдар.","600000","Тил боюнча билимим бар, ошондой эле окутуу тажрыйбам бар. Бир нече мугалим иштейт.","Биздин кардарлар бизди онлайн жарнамалардан, социалдык тармактардан жана ооздон-оозго угушат. Көбүнчө студенттер жана жумуш издегендер. Окуу жылынын башында суроо-талап көбөйөт.","Окуу борборубуз бар, ошондой эле онлайн курстарды сунуштайбыз.","Башка окуу борборлору жана жеке мугалимдер. Биздин өзгөчөлүгүбүз - сапаттуу окутуу жана жеткиликтүү баалар.","Квалификациялуу мугалимдердин жетишсиздиги жана атаандаштыктын күчөшү. Келерки жылы жаңы тилдерди кошуп, онлайн окутууну өнүктүрүүнү пландап жатабыз."
7,"Биз заказ боюнча эмерек жасайбыз, көбүнчө үй жана кеңсе үчүн. Кардарларыбыз - жаңы үй куруп жаткандар же эмеректерин алмаштыргысы келгендер.","1000000","Эмерек жасоо боюнча билимим бар, ошондой эле дизайн боюнча тажрыйбам бар. Бир нече уста жана дизайнерлер иштейт.","Биздин кардарлар бизди онлайн жарнамалардан, көргөзмөлөрдөн жана ооздон-оозго угушат. Көбүнчө үй-бүлөлөр жана бизнес ээлери. Курулуш сезонунда суроо-талап көбөйөт.","Цехибиз бар, ошондой эле жеткирүү кызматы бар.","Башка эмерек жасоо цехтери жана эмерек дүкөндөрү. Биздин өзгөчөлүгүбүз - сапаттуу материалдар жана уникалдуу дизайн.","Материалдардын кымбатташы жана квалификациялуу жумушчулардын жетишсиздиги. Келерки жылы жаңы жабдууларды сатып алып, өндүрүштү көбөйтүүнү пландап жатабыз."
8,"Биз ресторандардан тамак-ашты жеткиребиз. Кардарларыбыз - үйдөн чыкпай тамактангысы келген адамдар.","500000","Логистика боюнча билимим бар, ошондой эле сатуу жана маркетинг боюнча тажрыйбам бар. Бир нече курьер иштейт.","Биздин кардарлар бизди онлайн жарнамалардан, социалдык тармактардан жана ооздон-оозго угушат. Көбүнчө жаштар жана кеңсе кызматкерлери. Жумуш күндөрү түштө жана кечинде суроо-талап көбөйөт.","Мобилдик тиркемебиз бар, ошондой эле жеткирүү кызматы бар.","Башка тамак-аш жеткирүү кызматтары жана ресторандар. Биздин өзгөчөлүгүбүз - тез жеткирүү жана арзан баалар.","Күйүүчү майдын кымбатташы жана атаандаштыктын күчөшү. Келерки жылы жаңы ресторандар менен келишим түзүп, жеткирүү аймагын кеңейтүүнү пландап жатабыз."
9,"Биз автоунааларды оңдойбуз жана тейлөө кызматын көрсөтөбүз. Кардарларыбыз - автоунаа ээлери.","700000","Автоунаа оңдоо боюнча билимим бар, ошондой эле тейлөө тармагында тажрыйбам бар. Бир нече механик иштейт.","Биздин кардарлар бизди онлайн жарнамалардан, ооздон-оозго угушат жана жол боюндагы белгилерден табышат. Көбүнчө эркектер жана автоунаасын жакшы караган адамдар. Кыш мезгилинде жана жол кырсыктарынан кийин суроо-талап көбөйөт.","Оңдоочу жайыбыз бар, ошондой эле жолдо жардам берүү кызматы бар.","Башка автоунаа оңдоочу жайлар жана тейлөө борборлору. Биздин өзгөчөлүгүбүз - сапаттуу тейлөө жана арзан баалар.","Запчасттардын кымбатташы жана квалификациялуу механиктердин жетишсиздиги. Келерки жылы жаңы жабдууларды сатып алып, кызмат көрсөтүү түрлөрүн көбөйтүүнү пландап жатабыз."
